id,name,slug,batch,status,industry,subindustry,one_liner,website,all_locations,team_size,url
30028,Gait,gait,Fall 2024,Inactive,B2B,B2B,Building Dev Infra for AI Software Engineers,https://getgait.com,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/gait
30016,Zeroframe,zeroframe,Fall 2024,Inactive,B2B,B2B,Pushing the boundaries of AI,https://zeroframe.ai,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/zeroframe
30040,supercontrast,supercontrast,Fall 2024,Inactive,B2B,"B2B -> Engineering, Product and Design",AI Co-Pilot for Design,https://supercontrast.com/,"San Francisco, CA, USA; Remote",2,https://www.ycombinator.com/companies/supercontrast
31004,Dome,dome,Fall 2025,Inactive,B2B,B2B -> Infrastructure,"A unified API for prediction markets, like Kalshi and Polymarket",https://domeapi.io,,2,https://www.ycombinator.com/companies/dome
30916,Rovr,rovr,Fall 2025,Inactive,B2B,"B2B -> Engineering, Product and Design",AI FDE Engine that runs your engineering workflows,https://www.withrovr.com/,"San Francisco, CA, USA",3,https://www.ycombinator.com/companies/rovr
30851,Sylvian,sylvian,Fall 2025,Inactive,B2B,B2B,Specialized AI Agents.,https://sylvian.ai,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/sylvian
30447,Caucus,caucus,Spring 2025,Inactive,Government,Government,AI CRM for Government,https://www.usecaucus.com/,,3,https://www.ycombinator.com/companies/caucus
30418,Kanava AI,kanava-ai,Spring 2025,Inactive,B2B,B2B -> Supply Chain and Logistics,Your First AI Sales Hire for Wholesale Distributors,https://kanava.ai/,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/kanava-ai
30444,Percival,percival,Spring 2025,Inactive,B2B,B2B,Accelerating data analysis for research,https://percy.tech,"San Francisco, CA, USA; Remote",3,https://www.ycombinator.com/companies/percival
22151,AI.Fashion,ai-fashion,Summer 2020,Inactive,B2B,B2B -> Marketing,AI.Fashion is the AI creative suite for the fashion industry.,https://www.ai.fashion,"Los Angeles, CA, USA",11,https://www.ycombinator.com/companies/ai-fashion
22249,Artifact,artifact,Summer 2020,Inactive,Consumer,Consumer -> Content,Personal podcasts with the people in your life,https://www.heyartifact.com/,"San Francisco, CA, USA; Remote",10,https://www.ycombinator.com/companies/artifact
22307,Atmos,atmos,Summer 2020,Inactive,Real Estate and Construction,Real Estate and Construction -> Housing and Real Estate,"The entire homebuilding process, all online",https://www.buildatmos.com/,"San Francisco, CA, USA",30,https://www.ycombinator.com/companies/atmos
21855,Atomized,atomized,Summer 2020,Inactive,B2B,B2B -> Infrastructure,Enabling teams to deploy without needing a cloud expert,https://atomizedhq.com,"Charlotte, NC, USA; Remote",3,https://www.ycombinator.com/companies/atomized
21805,Bento,bento,Summer 2020,Inactive,B2B,B2B -> Productivity,In product customer activation,http://trybento.co/,"San Francisco, CA, USA",,https://www.ycombinator.com/companies/bento
22246,Byte,byte,Summer 2020,Inactive,Consumer,Consumer -> Food and Beverage,On-demand food delivery from dark kitchens in Pakistan.,https://web.thebyte.app/en/,"Lahore, Punjab, Pakistan",30,https://www.ycombinator.com/companies/byte
